product_id,brand,model,Network_Technology,Network_2G bands,Network_3G bands,Network_4G bands,Network_5G bands,Network_Speed,Launch_Announced,Launch_Status,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Size,Display_Resolution,Display_Protection,Platform_OS,Platform_Chipset,Platform_CPU,Platform_GPU,Memory_Card slot,Memory_Internal,Main Camera_Triple,Main Camera_Features,Main Camera_Video,Selfie camera_Single,Selfie camera_Features,Selfie camera_Video,Sound_Loudspeaker,Sound_3.5mm jack,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Type,Battery_Charging,Misc_Colors,Misc_Models,Misc_SAR,Main Camera_Dual,Misc_SAR EU,Comms_Infrared port,Misc_Price,Main Camera_Quad,Selfie camera_Dual,Main Camera_Single
12548,Apple,iPhone 15 Pro Max,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 53, 66 - A3106","1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 30, 38, 40, 41, 48, 53, 66, 70, 77, 78, 79 SA/NSA/Sub6 - A3106","HSPA, LTE-A, 5G, EV-DO Rev.A 3.1 Mbps","2023, September 12","Available. Released 2023, September 22",159.9 x 76.7 x 8.3 mm (6.30 x 3.02 x 0.33 in),221 g (7.80 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), titanium frame (grade 5)","Nano-SIM and eSIM - International  Dual eSIM with multiple numbers - USA  Dual SIM (Nano-SIM, dual stand-by) - China","LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)","6.7 inches, 110.2 cm2 (~89.8% screen-to-body ratio)","1290 x 2796 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,"iOS 17, upgradable to iOS 17.0.3",Apple A17 Pro (3 nm),Hexa-core (2x3.78 GHz + 4x2.11 GHz),Apple GPU (6-core graphics),No,"256GB 8GB RAM, 512GB 8GB RAM, 1TB 8GB RAM","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 120mm (periscope telephoto), 1/3.06"", 1.12µm, dual pixel PDAF, 3D sensor‑shift OIS, 5x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps), 3D (spatial) video, stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF, OIS SL 3D, (depth/biometrics sensor)","HDR, Cinematic mode (4K@24/30fps)","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, hotspot","5.3, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC",Yes,No,"USB Type-C 3.2 Gen 2, DisplayPort","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 4441 mAh, non-removable","25W wired, 50% in 30 min (advertised) 15W wireless (MagSafe) 7.5W wireless (Qi) 4.5W reverse wired","Black Titanium, White Titanium, Blue Titanium, Natural Titanium","A2849, A3105, A3106, A3108, iPhone16,2",1.07 W/kg (head) 1.11 W/kg (body),,,,,,,
9848,Apple,iPhone 11,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A2221",,"HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps","2019, September 10","Available. Released 2019, September 20",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),194 g (6.84 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame (7000 series)","Nano-SIM and eSIM or Dual SIM (Nano-SIM, dual stand-by) - for China","Liquid Retina IPS LCD, 625 nits (typ)","6.1 inches, 90.3 cm2 (~79.0% screen-to-body ratio)","828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)",Scratch-resistant glass,"iOS 13, upgradable to iOS 17.0.3",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",,"Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",HDR,"4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 3110 mAh, non-removable (11.91 Wh)","Wired, PD2.0, 50% in 30 min (advertised) Wireless (Qi)","Black, Green, Yellow, Purple, Red, White","A2221, A2111, A2223, iPhone12,1",1.09 W/kg (head) 1.18 W/kg (body),"12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",,,,,,
10509,Apple,iPhone 12,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2172","1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79, 260, 261 Sub6/mmWave - A2172","HSPA, LTE-A, 5G, EV-DO Rev.A 3.1 Mbps","2020, October 13","Available. Released 2020, October 23",146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),164 g (5.78 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame","Nano-SIM and eSIM or Dual SIM (Nano-SIM, dual stand-by) - for China","Super Retina XDR OLED, HDR10, Dolby Vision, 625 nits (HBM), 1200 nits (peak)","6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,"iOS 14.1, upgradable to iOS 17.0.3",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),Apple GPU (4-core graphics),No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",,"Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",HDR,"4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 2815 mAh, non-removable (10.78 Wh)","Wired, PD2.0, 50% in 30 min (advertised) 15W wireless (MagSafe) 7.5W wireless (Qi)","Black, White, Red, Green, Blue, Purple","A2403, A2172, A2402, A2404, iPhone13,2",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 13mm, 120˚ (ultrawide), 1/3.6""",0.99 W/kg (head) 0.99 W/kg (body),,,,,
11103,Apple,iPhone 13,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A2633, A2634, A2635","1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 29, 30, 38, 40, 41, 48, 66, 71, 77, 78, 79 Sub6/mmWave - A2633","HSPA, LTE-A, 5G, EV-DO Rev.A 3.1 Mbps","2021, September 14","Available. Released 2021, September 24",146.7 x 71.5 x 7.7 mm (5.78 x 2.81 x 0.30 in),174 g (6.14 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame","Nano-SIM and eSIM or Dual SIM (Nano-SIM, dual stand-by)","Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)","6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,"iOS 15, upgradable to iOS 17.0.3",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (4-core graphics),No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM",,"Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",HDR,"4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 3240 mAh, non-removable (12.41 Wh)","Wired, PD2.0, 50% in 30 min (advertised) 15W wireless (MagSafe) 7.5W wireless (Qi)","Starlight, Midnight, Blue, Pink, Red, Green","A2633, A2482, A2631, A2634, A2635, iphone14,5",1.18 W/kg (head) 1.19 W/kg (body),"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide)",,,,,,
11915,OnePlus,11R,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 2100,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41","1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","HSPA, LTE-A (3CA), 5G","2023, February 07","Available. Released 2023, February 21",163.4 x 74.3 x 8.7 mm (6.43 x 2.93 x 0.34 in),204 g (7.20 oz),"Glass front, glass back (Gorilla Glass 5), plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Fluid AMOLED, 1B colors, 120Hz, HDR10+, 1450 nits (peak)","6.74 inches, 109.2 cm2 (~90.0% screen-to-body ratio)","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",,"Android 13, OxygenOS 13",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 16GB RAM, 512GB 18GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","16 MP, f/2.4, 24mm (wide), 1/3.09"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5000 mAh, non-removable",100W wired,"Galactic Silver, Sonic Black, Solar Red",CPH2487,,,,Yes,"₹ 39,999",,,
11893,OnePlus,11,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 41, 40, 46, 48, 66, 71 - International","1, 2, 3, 5, 7, 8, 20, 25, 28, 30, 38, 40, 41, 66, 71, 75, 77, 78 SA/NSA - International","HSPA, LTE-A (CA), 5G","2023, January 04","Available. Released 2023, January 09",163.1 x 74.1 x 8.5 mm (6.42 x 2.92 x 0.33 in),205 g (7.23 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (2x Nano-SIM, eSIM, dual stand-by)","LTPO3 Fluid AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 500 nits (typ), 800 nits (HBM), 1300 nits (peak)","6.7 inches, 108.4 cm2 (~89.7% screen-to-body ratio)","1440 x 3216 pixels, 20:9 ratio (~525 ppi density)",Corning Gorilla Glass Victus,"Android 13, OxygenOS 13 (International), ColorOS 13 (China)",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 32 MP, f/2.0, 48mm (telephoto), 1/2.74"", PDAF, 2x optical zoom 48 MP, f/2.2, 115˚, (ultrawide), 1/2.0"", AF","Hasselblad Color Calibration, Dual-LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.5, 25mm (wide), 1.0µm","Auto-HDR, panorama","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Yes, eSE, HCE",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5000 mAh, non-removable","100W wired, PD, 1-50% in 10 min, 1-100% in 25 min (advertised) - International 80W wired, PD - USA","Titan Black, Eternal Green, Jupiter Rock","PHB110, CPH2449, CPH2447, CPH2451",,,,,"$ 599.99 / € 715.00 / £ 633.70 / ₹ 56,998",,,
10289,OnePlus,Nord,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66 - Europe","1, 3, 7, 28, 78 SA/NSA - Europe","HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/150 Mbps, 5G","2020, July 21","Available. Released 2020, August 04",158.3 x 73.3 x 8.2 mm (6.23 x 2.89 x 0.32 in),184 g (6.49 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Fluid AMOLED, 90Hz, HDR10+","6.44 inches, 100.6 cm2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~408 ppi density)",Corning Gorilla Glass 5,"Android 10, upgradable to Android 12, OxygenOS 12",Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,"64GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM",,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/240fps, gyro-EIS",,HDR,"4K@30/60fps, 1080p@30/60fps",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a), NavIC",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4115 mAh, non-removable","30W wired, 70% in 30 min","Blue Marble, Gray Onyx (Gray Ash)","AC2001, AC2003",,,,,$ 299.99 / € 178.61 / £ 157.00,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS 8 MP, f/2.3, 119˚ (ultrawide) 5 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm 8 MP, f/2.5, 105˚ (ultrawide), 1/4.0"", 1.12µm",
11977,OnePlus,Nord CE3,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41","1, 3, 5, 8, 28, 40, 41, 78 SA/NSA","HSPA, LTE-A (CA), 5G","2023, July 05","Available. Released 2023, August 05",162.7 x 75.5 x 8.2 mm (6.41 x 2.97 x 0.32 in),184 g (6.49 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","Fluid AMOLED, 1B colors, 120Hz, HDR10+","6.7 inches, 108.0 cm2 (~87.9% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,"Android 13, OxygenOS 13.1",Qualcomm Snapdragon 782G (6 nm),Octa-core (1x2.7 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 642L,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 8 MP, f/2.2, 112˚ (ultrawide), 1/4"", 1.12µm 2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 24mm (wide), 1.0µm",HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, temperature","Li-Po 5000 mAh, non-removable","80W wired, 1-61% in 15 min (advertised)","Aqua Surge, Gray Shimmer",,,,,Yes,"₹ 26,998",,,
12198,OnePlus,Nord CE 3 Lite,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 66 - International","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International","HSPA, LTE-A, 5G","2023, April 04","Available. Released 2023, April 11",165.5 x 76 x 8.3 mm (6.52 x 2.99 x 0.33 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 120Hz, 550 nits (typ), 680 nits (peak)","6.72 inches, 109.6 cm2 (~87.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~391 ppi density)",Corning Gorilla Glass,"Android 13, OxygenOS 13.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, (wide), 1.0µm","HDR, panorama",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","67W wired, 80% in 30 min (advertised)","Pastel Lime, Chromatic Gray","CPH2467, CPH2465",,,,,"$ 264.00 / € 249.00 / £ 242.96 / ₹ 19,999",,,
